"lat","long","year","bloom_date","bloom_doy","cat_bloom_doy","location","month","season","tmax_avg","tmax_max","tmin_avg","tmin_min","gdd_avg","prcp_avg"
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",0,"Winter",12.5967741935484,20.2,2.39032258064516,-2.4,7.49354838709677,31.4838709677419
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",1,"Winter",9.27741935483871,18.4,-0.141935483870968,-4.8,4.56774193548387,13.0645161290323
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",2,"Winter",11.8896551724138,19.7,0.220689655172414,-2.9,6.0551724137931,9.3448275862069
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",3,"Spring",14.8032258064516,24.1,3.92258064516129,-2.2,9.36290322580645,22.8064516129032
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",4,"Spring",18.2133333333333,25.6,7.42333333333333,-1,12.8183333333333,49.6
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",5,"Spring",23.8322580645161,30.2,13.1548387096774,6.3,18.4935483870968,64.1290322580645
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",6,"Summer",26.9133333333333,32.3,17.64,10.8,22.2766666666667,48.7333333333333
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",7,"Summer",32.8161290322581,36.8,22.158064516129,17.5,27.4870967741935,62.1290322580645
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",8,"Summer",32.9193548387097,37.6,23.4193548387097,18.9,28.1693548387097,148.41935483871
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",9,"Fall",28.5466666666667,33.8,19.85,10.3,24.1983333333333,52.2
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",10,"Fall",22.9354838709677,27.1,12.5612903225806,5.6,17.7483870967742,35.7096774193548
35.0119831,135.6761135,1960,"1960-04-04",95,"2","kyoto",11,"Fall",17.7533333333333,23.4,7.83333333333333,-0.1,12.7933333333333,33.0666666666667
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",0,"Winter",11.6032258064516,16.9,1.55161290322581,-5.2,6.57741935483871,10.0645161290323
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",1,"Winter",7.85483870967742,11.4,-1.5258064516129,-5.8,3.16451612903226,19.3870967741935
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",2,"Winter",8.65,14.6,-0.814285714285714,-4.4,3.91785714285714,10.7142857142857
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",3,"Spring",14.1096774193548,21.1,3.13870967741935,-2.4,8.6241935483871,30.1290322580645
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",4,"Spring",20.6733333333333,27.5,8.66333333333333,0.6,14.6683333333333,58.8
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",5,"Spring",25.0741935483871,33,14.2935483870968,8.3,19.6838709677419,51.3870967741936
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",6,"Summer",27.2,32.5,17.87,12,22.535,166.066666666667
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",7,"Summer",32.7967741935484,36,23.4225806451613,21.1,28.1096774193548,70.4193548387097
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",8,"Summer",33.7741935483871,37,23.841935483871,19.3,28.808064516129,34.5806451612903
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",9,"Fall",31.28,35.4,21.6466666666667,12.8,26.4633333333333,28.3
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",10,"Fall",24.2838709677419,32.2,15.9064516129032,8.1,20.0951612903226,107.064516129032
35.0119831,135.6761135,1961,"1961-04-09",99,"3","kyoto",11,"Fall",17.9166666666667,22.8,7.94666666666667,0.3,12.9316666666667,17
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",0,"Winter",12.2096774193548,19.4,2.52903225806452,-1.6,7.36935483870968,9.48387096774193
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",1,"Winter",8.45806451612903,13.1,-0.945161290322581,-3.8,3.75645161290323,17.9032258064516
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",2,"Winter",10.7392857142857,22.8,0.217857142857143,-4.2,5.47857142857143,5.07142857142857
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",3,"Spring",13.5258064516129,21.1,2.19677419354839,-2.9,7.86129032258065,10.2258064516129
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",4,"Spring",19.0866666666667,25.8,8.01666666666667,-0.5,13.5516666666667,59.5666666666667
35.0119831,135.6761135,1962,"1962-04-12",102,"4","kyoto",5,"Spring",24.1064516129032,33.1,12.7193548387097,6.8,18.4129032258065,46.741935483871
