lat,long,year,bloom_date,bloom_doy,cat_bloom_doy,cat_bloom_doy_1_year,cat_bloom_doy_2_years,location,month,season,tmax_avg,tmax_max,tmin_avg,tmin_min,gdd_avg,prcp_avg
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,0,Winter,12.59677419,20.2,2.390322581,-2.4,7.493548387,31.48387097
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,1,Winter,9.277419355,18.4,-0.1419354839,-4.8,4.567741935,13.06451613
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,2,Winter,11.88965517,19.7,0.2206896552,-2.9,6.055172414,9.344827586
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,3,Spring,14.80322581,24.1,3.922580645,-2.2,9.362903226,22.80645161
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,4,Spring,18.21333333,25.6,7.423333333,-1,12.81833333,49.6
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,5,Spring,23.83225806,30.2,13.15483871,6.3,18.49354839,64.12903226
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,6,Summer,26.91333333,32.3,17.64,10.8,22.27666667,48.73333333
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,7,Summer,32.81612903,36.8,22.15806452,17.5,27.48709677,62.12903226
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,8,Summer,32.91935484,37.6,23.41935484,18.9,28.16935484,148.4193548
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,9,Fall,28.54666667,33.8,19.85,10.3,24.19833333,52.2
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,10,Fall,22.93548387,27.1,12.56129032,5.6,17.7483871,35.70967742
35.0119831,135.6761135,1960,1960-04-04,95,2,,,kyoto,11,Fall,17.75333333,23.4,7.833333333,-0.1,12.79333333,33.06666667
35.0119831,135.6761135,1961,1961-04-09,99,3,2,,kyoto,0,Winter,11.60322581,16.9,1.551612903,-5.2,6.577419355,10.06451613
